trade,seed,fair,strike,train_u,V_0,greedy_usd_oz,nohedge_usd_oz,pf_bound,bound_pass,mean_abs_q,cover_contracts,churn,reused
202101,7,1069.18,1061.18,-0.576,-0.49201700091362,27.18,142.05,758.24,True,"[0.57, 0.0, 43.39]",43.96,312.5,True
202103,7,1211.0,1203.0,-0.5715,-0.4663037657737732,-36.37,-73.18,751.02,True,"[4.86, 14.24, 15.07]",34.17,2543.8,True
202104,7,1180.55,1172.55,-0.3838,-0.2429728358983993,214.8,-84.43,765.31,True,"[0.0, 1.11, 33.89]",35.0,500.0,True
202105,7,1217.45,1209.45,-0.2917,-0.5097169280052185,-166.14,-198.15,768.28,True,"[7.85, 1.04, 18.12]",27.01,412.5,True
202107,7,1059.28,1051.28,-0.4221,-0.3052207231521606,-98.03,-35.61,691.04,True,"[0.0, 0.0, 42.86]",42.86,531.2,True
202108,7,1053.33,1045.33,-0.314,-0.5560435652732849,154.02,-5.65,730.94,True,"[16.46, 0.0, 13.68]",30.14,412.5,True
202112,7,946.98,938.98,-0.6485,-0.6897912621498108,183.32,108.13,649.35,True,"[10.18, 0.0, 25.21]",35.39,856.2,True
202202,7,1016.87,1008.87,-0.4535,-0.4064622819423675,-138.42,-53.3,671.06,True,"[8.22, 0.0, 11.94]",20.15,343.8,True
202204,7,994.87,986.87,-0.5886,-0.6544615030288696,-16.26,-115.68,647.84,True,"[3.09, 6.18, 9.06]",18.33,981.2,True
202207,7,905.36,897.36,-1.0935,-0.707861065864563,-87.55,10.84,619.8,True,"[3.69, 2.7, 25.57]",31.96,856.2,True
