policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29559.361328,29559.361328
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2014.748047,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2037.363525,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-54713.535156,-54713.535156
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2051.020508,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2073.513184,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12353.306641,-12353.306641
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.920654,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2093.601562,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24306.285156,24306.285156
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2027.519775,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2049.027832,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-64069.191406,-64069.191406
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1946.357178,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1965.929077,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-226580.000000,-226580.000000
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2000.297852,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2020.378906,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-157596.984375,-157596.984375
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2016.320190,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2035.937622,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-99273.406250,-99273.406250
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1987.080688,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2006.219116,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-160150.765625,-160150.765625
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1956.697021,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1974.828857,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-212929.765625,-212929.765625
ml,worst,8122,2026-04-20,1917.305664,10.000000,1918.800537,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1932.955078,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1949.885742,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-281817.156250,-281817.156250
ml,worst,8122,2026-04-21,1911.689575,10.000000,1916.124023,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1929.965576,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1945.771484,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-289884.187500,-289884.187500
ml,worst,8122,2026-04-22,1844.717651,10.000000,1838.003296,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1850.946899,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1865.652588,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-455789.093750,-455789.093750
ml,worst,8122,2026-04-23,1845.368652,10.000000,1844.725220,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1859.821045,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1876.290649,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-454875.406250,-454875.406250
ml,worst,8122,2026-04-24,1837.420532,10.000000,1810.369019,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1824.432373,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1839.321045,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-472090.312500,-472090.312500
ml,worst,8122,2026-04-25,1847.287109,10.000000,1840.744629,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1855.846191,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1872.488159,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-445912.093750,-445912.093750
ml,worst,8122,2026-04-26,1827.545044,10.000000,1824.481812,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1838.248535,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1853.691284,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-491451.187500,-491451.187500
ml,worst,8122,2026-04-27,1859.468750,10.000000,1856.752319,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1870.835693,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1886.556152,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-410357.593750,-410357.593750
ml,worst,8122,2026-04-28,1841.884766,10.000000,1838.581177,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1852.597290,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1868.517944,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-446086.968750,-446086.968750
ml,worst,8122,2026-04-29,1841.021606,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1850.669678,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1867.788818,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-444562.812500,-444562.812500
ml,worst,8122,2026-04-30,1830.224121,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1854.114380,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1872.317139,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-473543.000000,-473543.000000
ml,worst,8122,2026-05-01,1828.131714,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1849.638062,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1866.297852,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-482643.875000,-482643.875000
ml,worst,8122,2026-05-02,1808.856445,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1829.054443,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1844.632568,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-533984.937500,-533984.937500
ml,worst,8122,2026-05-03,1792.868164,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1814.657837,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1829.881226,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-577302.750000,-577302.750000
ml,worst,8122,2026-05-04,1835.874023,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1888.941772,50.000000,1.000000,1.000000,-94447.085938,47.223541,94447.085938,1905.154663,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,94447.085938,-94447.085938,47.223541,-47.223541,-462394.593750,-462441.812500
ml,worst,8122,2026-05-05,1792.237305,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1815.255981,50.000000,-1.000000,-2.000000,181525.593750,90.762794,-90762.796875,1830.828369,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-90762.796875,87078.507812,137.986328,-3822.275391,-570536.437500,-574358.687500
ml,worst,8122,2026-05-06,1800.148682,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1829.487915,50.000000,0.000000,1.000000,-91474.398438,45.737198,0.000000,1847.136353,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-4395.890625,183.723541,-4579.614258,-555780.000000,-560359.625000
ml,worst,8122,2026-05-07,1804.764038,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1828.530640,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1846.270386,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-4395.890625,183.723541,-4579.614258,-547193.812500,-551773.437500
ml,worst,8122,2026-05-08,1801.605957,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1845.690674,50.000000,1.000000,1.000000,-92284.531250,46.142265,92284.531250,1866.442261,50.000000,1.000000,1.000000,-93322.109375,46.661057,93322.109375,185606.640625,-190002.531250,276.526855,-4672.417480,-554956.062500,-559628.500000
ml,worst,8122,2026-05-09,1745.680908,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1766.543457,50.000000,1.000000,0.000000,-0.000000,0.000000,88327.171875,1784.137817,50.000000,1.000000,0.000000,-0.000000,0.000000,89206.890625,177534.062500,-190002.531250,276.526855,-12744.996094,-692471.437500,-705216.437500
ml,worst,8122,2026-05-10,1668.789185,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1683.115112,50.000000,1.000000,0.000000,-0.000000,0.000000,84155.757812,1698.772095,50.000000,1.000000,0.000000,-0.000000,0.000000,84938.601562,169094.359375,-190002.531250,276.526855,-21184.699219,-885795.500000,-906980.187500
ml,worst,8122,2026-05-11,1666.845703,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1670.134277,50.000000,-1.000000,-2.000000,167013.421875,83.506714,-83506.710938,1686.837402,50.000000,-1.000000,-2.000000,168683.734375,84.341866,-84341.867188,-167848.578125,145694.625000,444.375427,-22598.328125,-891368.000000,-913966.312500
ml,worst,8122,2026-05-12,1663.385376,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1675.317139,50.000000,0.000000,1.000000,-83765.859375,41.882931,0.000000,1690.292358,50.000000,0.000000,1.000000,-84514.617188,42.257309,0.000000,0.000000,-22585.851562,528.515625,-23114.367188,-898732.937500,-921847.312500
ml,worst,8122,2026-05-13,1680.099121,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1711.604980,50.000000,1.000000,1.000000,-85580.250000,42.790123,85580.250000,1729.386108,50.000000,1.000000,1.000000,-86469.304688,43.234653,86469.304688,172049.562500,-194635.406250,614.540466,-23200.384766,-853987.437500,-877187.812500
ml,worst,8122,2026-05-14,1668.156860,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1693.651855,50.000000,-1.000000,-2.000000,169365.187500,84.682594,-84682.593750,1713.106201,50.000000,-1.000000,-2.000000,171310.625000,85.655312,-85655.312500,-170337.906250,146040.406250,784.878357,-25082.378906,-888770.937500,-913853.312500
ml,worst,8122,2026-05-15,1669.456177,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1695.799683,50.000000,0.000000,1.000000,-84789.984375,42.394993,0.000000,1714.354004,50.000000,0.000000,1.000000,-85717.703125,42.858849,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-887962.875000,-913300.312500
ml,worst,8122,2026-05-16,1636.763306,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1637.932129,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1654.995483,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-972191.375000,-997528.812500
ml,worst,8122,2026-05-17,1619.820923,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1637.885132,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1655.591797,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-1014343.375000,-1039680.812500
ml,worst,8122,2026-05-18,1615.523682,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1633.552856,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1654.407715,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-1028421.187500,-1053758.625000
ml,worst,8122,2026-05-19,1631.482666,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1628.718994,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1647.390747,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-987185.187500,-1012522.625000
ml,worst,8122,2026-05-20,1623.611694,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1606.592285,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1622.503906,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-24467.281250,870.132202,-25337.414062,-1006742.937500,-1032080.375000
ml,worst,8122,2026-05-21,1617.815552,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1615.187012,50.000000,1.000000,1.000000,-80759.351562,40.379673,80759.351562,1629.356201,50.000000,1.000000,1.000000,-81467.812500,40.733906,81467.812500,162227.156250,-186694.437500,951.245728,-25418.527344,-1023697.750000,-1049116.250000
ml,worst,8122,2026-05-22,1624.298462,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1638.156250,50.000000,0.000000,-1.000000,81907.812500,40.953907,0.000000,1649.350830,50.000000,0.000000,-1.000000,82467.539062,41.233768,0.000000,0.000000,-22319.093750,1033.433472,-23352.527344,-1009518.000000,-1032870.500000
ml,worst,8122,2026-05-23,1624.253540,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1643.778198,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1652.469360,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-22319.093750,1033.433472,-23352.527344,-1012653.000000,-1036005.500000
ml,worst,8122,2026-05-24,1628.730957,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1647.861816,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1658.480957,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-22319.093750,1033.433472,-23352.527344,-1005701.687500,-1029054.187500
ml,worst,8122,2026-05-25,1637.357422,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1644.299561,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1655.213257,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-22319.093750,1033.433472,-23352.527344,-985209.062500,-1008561.562500
ml,worst,8122,2026-05-26,1653.595825,10.000000,1834.347656,50.000000,1.000000,1.000000,-91717.382812,45.858688,91717.382812,1666.999878,50.000000,1.000000,1.000000,-83349.992188,41.674995,83349.992188,1679.802979,50.000000,1.000000,1.000000,-83990.148438,41.995075,83990.148438,259057.531250,-281376.625000,1162.962158,-23482.056641,-945574.562500,-969056.625000
ml,worst,8122,2026-05-27,1657.966675,10.000000,1834.347656,50.000000,0.000000,-1.000000,91717.382812,45.858688,0.000000,1661.462769,50.000000,0.000000,-1.000000,83073.140625,41.536568,0.000000,1672.880615,50.000000,0.000000,-1.000000,83644.031250,41.822014,0.000000,0.000000,-22942.062500,1292.179443,-24234.242188,-932497.125000,-956731.375000
ml,worst,8122,2026-05-28,1639.328491,10.000000,1834.347656,50.000000,1.000000,1.000000,-91717.382812,45.858688,91717.382812,1633.874023,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1641.494629,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,91717.382812,-114659.445312,1338.038086,-24280.101562,-979628.500000,-1003908.625000
ml,worst,8122,2026-05-29,1645.567871,10.000000,1834.347656,50.000000,0.000000,-1.000000,91717.382812,45.858688,0.000000,1642.460815,50.000000,1.000000,1.000000,-82123.039062,41.061516,82123.039062,1649.649658,50.000000,1.000000,1.000000,-82482.484375,41.241241,82482.484375,164605.531250,-187547.593750,1466.199585,-24408.261719,-965567.500000,-989975.750000
ml,worst,8122,2026-05-30,1671.595825,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1679.885864,50.000000,1.000000,0.000000,-0.000000,0.000000,83994.296875,1687.678345,50.000000,1.000000,0.000000,-0.000000,0.000000,84383.914062,168378.218750,-187547.593750,1466.199585,-20635.574219,-899170.062500,-919805.625000
ml,worst,8122,2026-05-31,1664.020996,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1672.784180,50.000000,1.000000,0.000000,-0.000000,0.000000,83639.210938,1679.282959,50.000000,1.000000,0.000000,-0.000000,0.000000,83964.148438,167603.359375,-187547.593750,1466.199585,-21410.433594,-918360.562500,-939771.000000
ml,worst,8122,2026-06-01,1605.570801,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1601.188965,50.000000,-1.000000,-2.000000,160118.890625,80.059441,-80059.445312,1609.745728,50.000000,-1.000000,-2.000000,160974.578125,80.487282,-80487.289062,-160546.734375,133545.875000,1626.746338,-28627.605469,-1066227.500000,-1094855.125000
ml,worst,8122,2026-06-02,1571.291992,10.000000,1834.347656,50.000000,1.000000,1.000000,-91717.382812,45.858688,91717.382812,1572.390137,50.000000,0.000000,1.000000,-78619.507812,39.309753,0.000000,1581.993896,50.000000,0.000000,1.000000,-79099.695312,39.549847,0.000000,91717.382812,-115890.703125,1751.464600,-25924.785156,-1147502.125000,-1173426.875000
ml,worst,8122,2026-06-03,1592.246216,10.000000,1834.347656,50.000000,0.000000,-1.000000,91717.382812,45.858688,0.000000,1581.254883,50.000000,1.000000,1.000000,-79062.742188,39.531372,79062.742188,1589.323364,50.000000,1.000000,1.000000,-79466.171875,39.733086,79466.171875,158528.906250,-182702.234375,1876.587646,-26049.916016,-1093038.375000,-1119088.250000
ml,worst,8122,2026-06-04,1586.497681,10.000000,1834.347656,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1602.451416,50.000000,0.000000,-1.000000,80122.570312,40.061283,0.000000,1611.534546,50.000000,0.000000,-1.000000,80576.726562,40.288361,0.000000,0.000000,-22002.937500,1956.937378,-23959.875000,-1108024.750000,-1131984.625000
