policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-7.000000,-7.000000,709160.000000,354.579987,-709160.000000,2047.068848,50.000000,-7.000000,-7.000000,716474.125000,358.237030,-716474.125000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-2150396.500000,2150396.500000,1075.198242,-1075.198242,29559.361328,28484.164062
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,-7.000000,0.000000,-0.000000,0.000000,-697914.375000,2014.748047,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705161.812500,2037.363525,50.000000,-7.000000,0.000000,-0.000000,0.000000,-713077.250000,-2116153.500000,2150396.500000,1075.198242,33167.800781,-54713.535156,-21545.734375
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,-7.000000,0.000000,-0.000000,0.000000,-710907.875000,2051.020508,50.000000,-7.000000,0.000000,-0.000000,0.000000,-717857.187500,2073.513184,50.000000,-7.000000,0.000000,-0.000000,0.000000,-725729.562500,-2154494.500000,2150396.500000,1075.198242,-5173.198242,-12353.306641,-17526.503906
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,-3.000000,4.000000,-410223.937500,205.111969,-307667.937500,2070.920654,50.000000,-3.000000,4.000000,-414184.125000,207.092056,-310638.093750,2093.601562,50.000000,-9.000000,-2.000000,209360.156250,104.680069,-942120.687500,-1560426.750000,1535348.500000,1592.082275,-26670.332031,24306.285156,-2364.046875
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,-5.000000,-2.000000,200909.687500,100.454842,-502274.218750,2027.519775,50.000000,-5.000000,-2.000000,202751.984375,101.375992,-506879.937500,2049.027832,50.000000,-5.000000,4.000000,-409805.562500,204.902771,-512256.937500,-1521411.000000,1529204.750000,1998.815918,5794.934082,-64069.191406,-58274.257812
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,-1.000000,4.000000,-386053.437500,193.026718,-96513.359375,1946.357178,50.000000,-1.000000,4.000000,-389271.437500,194.635727,-97317.859375,1965.929077,50.000000,-1.000000,4.000000,-393185.812500,196.592896,-98296.453125,-292127.687500,360694.000000,2583.071289,65983.242188,-226580.000000,-160596.750000
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,-3.000000,-2.000000,198459.296875,99.229645,-297688.937500,2000.297852,50.000000,-8.000000,-7.000000,700104.250000,350.052094,-800119.125000,2020.378906,50.000000,-8.000000,-7.000000,707132.625000,353.566315,-808151.562500,-1905959.500000,1966390.250000,3385.919434,57044.832031,-157596.984375,-100552.156250
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,4.000000,7.000000,-700377.250000,350.188599,400215.562500,2016.320190,50.000000,-4.000000,4.000000,-403264.031250,201.632004,-403264.031250,2035.937622,50.000000,-4.000000,4.000000,-407187.531250,203.593750,-407187.531250,-410236.000000,455561.375000,4141.333984,41184.039062,-99273.406250,-58089.367188
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,4.000000,0.000000,-0.000000,0.000000,394438.343750,1987.080688,50.000000,-4.000000,0.000000,-0.000000,0.000000,-397416.125000,2006.219116,50.000000,-4.000000,0.000000,-0.000000,0.000000,-401243.812500,-404221.593750,455561.375000,4141.333984,47198.445312,-160150.765625,-112952.320312
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,4.000000,0.000000,-0.000000,0.000000,388416.500000,1956.697021,50.000000,-4.000000,0.000000,-0.000000,0.000000,-391339.406250,1974.828857,50.000000,-4.000000,0.000000,-0.000000,0.000000,-394965.781250,-397888.687500,455561.375000,4141.333984,53531.351562,-212929.765625,-159398.406250
